dewpoint_1000_hpa,dewpoint_850_hpa,k_index,showalter_index,dewpoint_500_hpa,lifted_index,convective_available_potential_energy,cross_totals_index,dewpoint_700_hpa,rain
22.2,15.8,35.4,0.16,11.3,-1.48,508.22,20.1,6.9,0
22.2,15.8,35.4,0.16,11.3,-1.48,508.22,20.1,6.9,0
23.5,15.1,32.2,1.33,26.1,-2.35,952.96,19.2,6.0,0
23.5,15.1,32.2,1.33,26.1,-2.35,952.96,19.2,6.0,0
22.1,13.0,33.7,2.82,34.1,-0.87,276.15,17.1,6.6,0
22.1,13.0,33.7,2.82,34.1,-0.87,276.15,17.1,6.6,0
23.1,15.3,18.0,0.75,36.3,-2.06,938.36,19.6,-9.8,0
23.1,15.3,18.0,0.75,36.3,-2.06,938.36,19.6,-9.8,0
20.6,11.8,21.1,3.59,36.5,0.16,135.81,16.3,-3.6,0
20.6,11.8,21.1,3.59,36.5,0.16,135.81,16.3,-3.6,0
20.8,12.0,14.7,5.12,27.7,1.5,156.8,14.7,-8.0,0
20.8,12.0,14.7,5.12,27.7,1.5,156.8,14.7,-8.0,0
22.0,13.4,32.3,1.86,14.5,-1.25,414.94,17.9,3.6,1
22.0,13.4,32.3,1.86,14.5,-1.25,414.94,17.9,3.6,0
21.8,9.6,23.3,5.91,40.1,0.43,144.08,12.7,-1.0,0
21.8,9.6,23.3,5.91,40.1,0.43,144.08,12.7,-1.0,0
21.8,12.8,29.3,3.5,16.7,-0.86,269.54,16.5,3.4,0
21.8,12.8,29.3,3.5,16.7,-0.86,269.54,16.5,3.4,0
21.2,15.1,33.9,2.04,29.3,0.06,153.22,18.4,6.9,1
21.2,15.1,33.9,2.04,29.3,0.06,153.22,18.4,6.9,0
22.5,11.4,28.3,1.64,-9.1,-3.62,481.8,17.9,1.4,1
22.5,11.4,28.3,1.64,-9.1,-3.62,481.8,17.9,1.4,0
19.8,12.6,21.7,1.98,13.5,0.1,0.0,18.1,-3.6,1
19.8,12.6,21.7,1.98,13.5,0.1,0.0,18.1,-3.6,0
21.6,14.5,27.4,0.63,21.9,-1.68,271.95,19.4,-1.0,1
21.6,14.5,27.4,0.63,21.9,-1.68,271.95,19.4,-1.0,0
19.8,13.0,23.9,2.53,33.9,0.39,14.05,16.9,-2.4,0
19.8,13.0,23.9,2.53,33.9,0.39,14.05,16.9,-2.4,0
21.6,13.0,35.4,1.93,-8.6,-1.82,390.93,17.5,7.1,1
21.6,13.0,35.4,1.93,-8.6,-1.82,390.93,17.5,7.1,0
22.0,9.0,28.1,5.7,12.1,-1.14,309.84,13.1,5.0,1
22.0,9.0,28.1,5.7,12.1,-1.14,309.84,13.1,5.0,0
21.9,14.7,34.1,1.35,18.9,-1.95,923.77,18.6,6.1,1
21.9,14.7,34.1,1.35,18.9,-1.95,923.77,18.6,6.1,0
23.1,16.4,32.9,0.19,23.5,-1.17,708.35,19.9,4.6,1
